absorption_max,emission_max
488.0,530.0
469.0,525.0
340.0,450.0
547.0,598.0
480.0,540.0
405.0,520.0
339.0,460.0
547.0,618.0
570.0,671.0
405.0,460.0
485.0,535.0
540.0,590.0
586.0,603.0
488.0,535.0
340.0,460.0
488.0,530.0
469.0,525.0
340.0,450.0
547.0,598.0
480.0,540.0
405.0,520.0
339.0,460.0
547.0,618.0
570.0,671.0
405.0,460.0
485.0,535.0
540.0,590.0
586.0,603.0
488.0,535.0
340.0,460.0
488.0,530.0
469.0,525.0
340.0,450.0
547.0,598.0
480.0,540.0
405.0,520.0
339.0,460.0
547.0,618.0
570.0,671.0
405.0,460.0
485.0,535.0
540.0,590.0
586.0,603.0
488.0,535.0
340.0,460.0
488.0,530.0
469.0,525.0
340.0,450.0
547.0,598.0
480.0,540.0
405.0,520.0
339.0,460.0
547.0,618.0
570.0,671.0
405.0,460.0
485.0,535.0
540.0,590.0
586.0,603.0
488.0,535.0
340.0,460.0
488.0,530.0
469.0,525.0
340.0,450.0
547.0,598.0
480.0,540.0
405.0,520.0
339.0,460.0
547.0,618.0
570.0,671.0
405.0,460.0
485.0,535.0
540.0,590.0
586.0,603.0
488.0,535.0
340.0,460.0
488.0,530.0
469.0,525.0
340.0,450.0
547.0,598.0
480.0,540.0
405.0,520.0
339.0,460.0
547.0,618.0
570.0,671.0
405.0,460.0
485.0,535.0
540.0,590.0
586.0,603.0
488.0,535.0
340.0,460.0
488.0,530.0
469.0,525.0
340.0,450.0
547.0,598.0
480.0,540.0
405.0,520.0
339.0,460.0
547.0,618.0
570.0,671.0
405.0,460.0
485.0,535.0
540.0,590.0
586.0,603.0
488.0,535.0
340.0,460.0
488.0,530.0
469.0,525.0
340.0,450.0
547.0,598.0
480.0,540.0
405.0,520.0
339.0,460.0
547.0,618.0
570.0,671.0
405.0,460.0
485.0,535.0
540.0,590.0
586.0,603.0
488.0,535.0
340.0,460.0
488.0,530.0
469.0,525.0
340.0,450.0
547.0,598.0
480.0,540.0
405.0,520.0
339.0,460.0
547.0,618.0
570.0,671.0
405.0,460.0
485.0,535.0
540.0,590.0
586.0,603.0
488.0,535.0
340.0,460.0
488.0,530.0
469.0,525.0
340.0,450.0
547.0,598.0
480.0,540.0
405.0,520.0
339.0,460.0
547.0,618.0
570.0,671.0
405.0,460.0
485.0,535.0
540.0,590.0
586.0,603.0
488.0,535.0
340.0,460.0
